	BLASTX_swissprot
TRINITY_DN6658_c1_g1	.
TRINITY_DN2952_c0_g1	"PPA15_ARATH^PPA15_ARATH^Q:1669-176,H:21-522^68.911%ID^E:0^RecName: Full=Purple acid phosphatase 15;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8672_c3_g1	"PXG5_ARATH^PXG5_ARATH^Q:152-649,H:18-183^69.277%ID^E:2.25e-82^RecName: Full=Probable peroxygenase 5;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN1273_c0_g1	.
TRINITY_DN9110_c7_g1	"BD31B_ORYSJ^BD31B_ORYSJ^Q:150-584,H:1-145^88.966%ID^E:1.33e-93^RecName: Full=Protein BUD31 homolog 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa"
TRINITY_DN8392_c1_g1	"CSCL8_ARATH^CSCL8_ARATH^Q:239-1888,H:167-708^62.862%ID^E:0^RecName: Full=CSC1-like protein At3g54510;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN6439_c5_g1	.
TRINITY_DN8436_c0_g1	.
TRINITY_DN6734_c4_g3	"FRI2_TOBAC^FRI2_TOBAC^Q:185-364,H:34-93^64.516%ID^E:5.65e-16^RecName: Full=Ferritin-2, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana"
TRINITY_DN5122_c0_g1	.
TRINITY_DN9156_c2_g1	"SHT_ARATH^SHT_ARATH^Q:1438-119,H:9-451^49.103%ID^E:3.39e-148^RecName: Full=Spermidine hydroxycinnamoyl transferase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8735_c0_g1	.
TRINITY_DN8627_c3_g2	"HPBP1_MOUSE^HPBP1_MOUSE^Q:76-357,H:201-294^31.915%ID^E:8.81e-07^RecName: Full=Hsp70-binding protein 1;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Mus; Mus"
TRINITY_DN9114_c2_g1	.
TRINITY_DN3889_c0_g1	.
TRINITY_DN9477_c1_g1	.
TRINITY_DN2541_c1_g1	"LRK10_WHEAT^LRK10_WHEAT^Q:1753-80,H:29-628^46.269%ID^E:3.63e-176^RecName: Full=Rust resistance kinase Lr10 {ECO:0000312|EMBL:AAC49629.1};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Triticinae; Triticum"
TRINITY_DN9136_c2_g1	"GSTX4_TOBAC^GSTX4_TOBAC^Q:202-819,H:4-210^64.734%ID^E:8.45e-99^RecName: Full=Probable glutathione S-transferase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana"
TRINITY_DN5293_c0_g1	"FB135_ARATH^FB135_ARATH^Q:1787-720,H:28-403^29.592%ID^E:3.77e-31^RecName: Full=F-box protein At3g07870;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN12388_c0_g1	"LECB_STYJP^LECB_STYJP^Q:124-867,H:3-250^38.077%ID^E:2.03e-35^RecName: Full=Bark lectin;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Sophoreae; Styphnolobium"
TRINITY_DN9385_c2_g1	"ANX4_FRAAN^ANX4_FRAAN^Q:77-1015,H:1-313^62.62%ID^E:1.98e-143^RecName: Full=Annexin-like protein RJ4;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Rosoideae; Potentilleae; Fragariinae; Fragaria"
TRINITY_DN8049_c3_g1	.
TRINITY_DN9271_c1_g1	"SOT13_ARATH^SOT13_ARATH^Q:315-13,H:129-229^52.475%ID^E:9.02e-34^RecName: Full=Cytosolic sulfotransferase 13;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7790_c0_g2	.
TRINITY_DN6263_c3_g1	.
TRINITY_DN5111_c0_g1	.
TRINITY_DN9081_c3_g1	"CB23_SOLLC^CB23_SOLLC^Q:285-148,H:220-265^97.826%ID^E:2.19e-24^RecName: Full=Chlorophyll a-b binding protein 13, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum; Lycopersicon"
TRINITY_DN9577_c8_g1	"U92A1_ARATH^U92A1_ARATH^Q:1628-198,H:10-487^46.694%ID^E:1.59e-146^RecName: Full=UDP-glycosyltransferase 92A1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN12223_c0_g1	.
TRINITY_DN9589_c0_g1	.
TRINITY_DN8975_c5_g1	.
TRINITY_DN7033_c1_g1	.
TRINITY_DN6069_c3_g1	.
TRINITY_DN2172_c0_g1	"KIWEL_ACTDE^KIWEL_ACTDE^Q:145-702,H:2-187^76.882%ID^E:4.29e-98^RecName: Full=Kiwellin;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; Ericales; Actinidiaceae; Actinidia"
TRINITY_DN6092_c0_g1	.
TRINITY_DN8496_c2_g1	"NHX4_ARATH^NHX4_ARATH^Q:1935-400,H:7-526^72.692%ID^E:0^RecName: Full=Sodium/hydrogen exchanger 4;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN3439_c0_g1	"DNAJ1_MYCTU^DNAJ1_MYCTU^Q:1563-1363,H:8-77^48.571%ID^E:3.51e-09^RecName: Full=Chaperone protein DnaJ 1 {ECO:0000255|HAMAP-Rule:MF_01152};^Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex"
TRINITY_DN12267_c0_g1	.
TRINITY_DN6664_c3_g1	.
TRINITY_DN3015_c0_g1	"PTR46_ARATH^PTR46_ARATH^Q:128-1138,H:218-541^28.363%ID^E:7.66e-40^RecName: Full=Protein NRT1/ PTR FAMILY 5.4;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN3014_c0_g1	.
TRINITY_DN9526_c6_g1	"PVADH_PSESP^PVADH_PSESP^Q:1670-225,H:143-613^26.59%ID^E:4.35e-34^RecName: Full=Polyvinylalcohol dehydrogenase;^Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas"
TRINITY_DN7081_c2_g1	"PER43_ARATH^PER43_ARATH^Q:1255-284,H:7-326^66.667%ID^E:8.66e-145^RecName: Full=Peroxidase 43;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9059_c5_g1	"MVP_SOCMV^MVP_SOCMV^Q:768-304,H:46-204^28.395%ID^E:2.15e-06^RecName: Full=Movement protein;^Viruses; Retro-transcribing viruses; Caulimoviridae; Soymovirus"
TRINITY_DN3131_c0_g1	.
TRINITY_DN8641_c4_g5	.
TRINITY_DN5288_c0_g1	"DRL7_ARATH^DRL7_ARATH^Q:648-439,H:805-871^44.286%ID^E:2.77e-09^RecName: Full=Probable disease resistance protein At1g58390;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN4159_c0_g1	"EDL3_ARATH^EDL3_ARATH^Q:65-739,H:28-253^67.841%ID^E:7.74e-107^RecName: Full=EID1-like F-box protein 3;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9119_c7_g1	.
TRINITY_DN5844_c1_g1	"PAPS4_ARATH^PAPS4_ARATH^Q:118-1791,H:2-564^73.628%ID^E:0^RecName: Full=Nuclear poly(A) polymerase 4 {ECO:0000303|PubMed:18479511};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN3972_c0_g1	"ALL13_OLEEU^ALL13_OLEEU^Q:902-237,H:1-222^76.126%ID^E:7.13e-122^RecName: Full=Thaumatin-like protein;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Oleaceae; Oleeae; Olea"
TRINITY_DN6979_c0_g1	.
TRINITY_DN9169_c1_g1	.
TRINITY_DN7615_c4_g4	.
TRINITY_DN8438_c2_g1	"DLO2_ARATH^DLO2_ARATH^Q:1321-326,H:22-326^35.693%ID^E:3.4e-58^RecName: Full=Protein DMR6-LIKE OXYGENASE 2 {ECO:0000303|PubMed:25376907};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN6837_c0_g4	"HSP83_IPONI^HSP83_IPONI^Q:2602-533,H:1-689^95.942%ID^E:0^RecName: Full=Heat shock protein 83;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Convolvulaceae; Ipomoeeae; Ipomoea"
TRINITY_DN6549_c1_g1	"TKTC2_ARATH^TKTC2_ARATH^Q:2339-294,H:65-740^84.751%ID^E:0^RecName: Full=Transketolase-2, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7271_c3_g2	.
TRINITY_DN8368_c2_g1	"HSP7N_ARATH^HSP7N_ARATH^Q:195-1,H:1-65^98.462%ID^E:1.94e-38^RecName: Full=Heat shock 70 kDa protein 18;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9357_c0_g1	.
TRINITY_DN7200_c0_g1	"RS272_ARATH^RS272_ARATH^Q:3-149,H:24-86^66.667%ID^E:4.12e-20^RecName: Full=40S ribosomal protein S27-2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN3292_c0_g1	"SDI1_ARATH^SDI1_ARATH^Q:187-1086,H:27-306^66%ID^E:1.47e-132^RecName: Full=Protein SULFUR DEFICIENCY-INDUCED 1 {ECO:0000303|PubMed:19154231};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9205_c1_g1	"ANRCS_VITVI^ANRCS_VITVI^Q:1-117,H:300-338^84.615%ID^E:6.14e-14^RecName: Full=Anthocyanidin reductase ((2S)-flavan-3-ol-forming) {ECO:0000303|Ref.1};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; Vitales; Vitaceae; Vitis"
TRINITY_DN6216_c0_g2	"B120_ARATH^B120_ARATH^Q:560-3,H:513-698^68.817%ID^E:2.38e-85^RecName: Full=G-type lectin S-receptor-like serine/threonine-protein kinase B120;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN3251_c0_g1	.
TRINITY_DN8121_c2_g3	.
TRINITY_DN9401_c5_g1	.
TRINITY_DN5689_c3_g2	"FB9_ARATH^FB9_ARATH^Q:472-597,H:5-46^47.619%ID^E:1.83e-06^RecName: Full=F-box protein At1g15015;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8576_c4_g5	"RIR1_ARATH^RIR1_ARATH^Q:415-591,H:19-77^74.576%ID^E:3.35e-19^RecName: Full=Ribonucleoside-diphosphate reductase large subunit {ECO:0000303|PubMed:10542051};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7983_c3_g1	"C71DA_SOYBN^C71DA_SOYBN^Q:351-1799,H:28-510^62.09%ID^E:0^RecName: Full=Cytochrome P450 71D10;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Glycine; Soja"
TRINITY_DN4590_c1_g1	"NLTP8_ARATH^NLTP8_ARATH^Q:503-243,H:26-112^51.724%ID^E:1.76e-07^RecName: Full=Non-specific lipid-transfer protein 8;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7228_c0_g1	"HSP12_MEDSA^HSP12_MEDSA^Q:189-638,H:1-148^70%ID^E:8.8e-59^RecName: Full=18.2 kDa class I heat shock protein;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Trifolieae; Medicago"
TRINITY_DN8209_c0_g1	.
TRINITY_DN15520_c0_g1	"MEP1_SOYBN^MEP1_SOYBN^Q:728-12,H:41-301^41.379%ID^E:2.42e-58^RecName: Full=Metalloendoproteinase 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Glycine; Soja"
TRINITY_DN9291_c4_g1	.
TRINITY_DN5714_c2_g4	.
TRINITY_DN9819_c1_g1	.
TRINITY_DN8387_c4_g2	"C76B6_CATRO^C76B6_CATRO^Q:1740-250,H:1-490^58.233%ID^E:0^RecName: Full=Geraniol 8-hydroxylase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Gentianales; Apocynaceae; Rauvolfioideae; Vinceae; Catharanthinae; Catharanthus"
TRINITY_DN9736_c6_g1	.
TRINITY_DN6647_c1_g1	"WAKLB_ARATH^WAKLB_ARATH^Q:274-2334,H:35-743^41.87%ID^E:1.62e-168^RecName: Full=Wall-associated receptor kinase-like 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN4397_c0_g1	"LIP_RHIOR^LIP_RHIOR^Q:435-1097,H:164-348^30.045%ID^E:7.26e-13^RecName: Full=Lipase;^Eukaryota; Fungi; Fungi incertae sedis; Mucoromycota; Mucoromycotina; Mucorales; Mucorineae; Rhizopodaceae; Rhizopus"
TRINITY_DN9256_c0_g1	.
TRINITY_DN3045_c0_g1	.
TRINITY_DN8073_c0_g1	"PSB7A_ARATH^PSB7A_ARATH^Q:107-226,H:1-40^75%ID^E:6.15e-15^RecName: Full=Proteasome subunit beta type-7-A;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN1022_c0_g1	.
TRINITY_DN6919_c2_g1	.
TRINITY_DN6129_c3_g1	.
TRINITY_DN7684_c2_g4	"PILS1_ARATH^PILS1_ARATH^Q:877-212,H:86-352^50.936%ID^E:3.76e-84^RecName: Full=Protein PIN-LIKES 1 {ECO:0000303|PubMed:22504182};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8200_c0_g1	"B3GTG_ARATH^B3GTG_ARATH^Q:72-1,H:520-543^79.167%ID^E:8.78e-07^RecName: Full=Hydroxyproline O-galactosyltransferase GALT3 {ECO:0000303|PubMed:26690932};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8284_c0_g1	.
TRINITY_DN5896_c3_g3	"CER1_ARATH^CER1_ARATH^Q:1342-44,H:188-625^62.1%ID^E:0^RecName: Full=Protein ECERIFERUM 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7014_c1_g1	.
TRINITY_DN8653_c5_g1	.
TRINITY_DN3593_c0_g1	.
TRINITY_DN6331_c1_g2	"VINSY_RAUSE^VINSY_RAUSE^Q:1481-225,H:11-407^35.059%ID^E:5.83e-73^RecName: Full=Vinorine synthase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Gentianales; Apocynaceae; Rauvolfioideae; Vinceae; Rauvolfiinae; Rauvolfia"
TRINITY_DN9075_c0_g1	.
TRINITY_DN6129_c3_g4	.
TRINITY_DN9304_c7_g3	.
TRINITY_DN7439_c0_g1	.
TRINITY_DN8308_c0_g1	"CB3_ARATH^CB3_ARATH^Q:185-3,H:11-71^78.689%ID^E:1.35e-27^RecName: Full=Chlorophyll a-b binding protein 3, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7161_c1_g2	.
TRINITY_DN6851_c0_g1	"VINSY_RAUSE^VINSY_RAUSE^Q:18-464,H:87-235^37.107%ID^E:3.58e-18^RecName: Full=Vinorine synthase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Gentianales; Apocynaceae; Rauvolfioideae; Vinceae; Rauvolfiinae; Rauvolfia"
TRINITY_DN9694_c0_g1	.
TRINITY_DN6546_c5_g1	.
TRINITY_DN9326_c0_g1	.
TRINITY_DN7340_c3_g1	.
TRINITY_DN9354_c4_g1	"21KD_DAUCA^21KD_DAUCA^Q:465-268,H:120-185^68.182%ID^E:2.06e-25^RecName: Full=21 kDa protein;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Apiales; Apiaceae; Apioideae; Scandiceae; Daucinae; Daucus; Daucus sect. Daucus"
TRINITY_DN2987_c0_g1	.
TRINITY_DN6284_c1_g1	"KIWEL_ACTDE^KIWEL_ACTDE^Q:2-172,H:133-189^84.211%ID^E:3.5e-28^RecName: Full=Kiwellin;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; Ericales; Actinidiaceae; Actinidia"
TRINITY_DN2159_c0_g1	.
TRINITY_DN6259_c2_g3	.
TRINITY_DN8704_c1_g2	"CDC2_MAIZE^CDC2_MAIZE^Q:115-693,H:4-197^54.639%ID^E:2.68e-70^RecName: Full=Cell division control protein 2 homolog;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; PACMAD clade; Panicoideae; Andropogonodae; Andropogoneae; Tripsacinae; Zea"
TRINITY_DN4233_c0_g1	.
TRINITY_DN9289_c9_g1	"Y3720_ARATH^Y3720_ARATH^Q:3-803,H:137-356^25.461%ID^E:5.02e-12^RecName: Full=UPF0481 protein At3g47200;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN12306_c0_g1	.
TRINITY_DN5801_c0_g1	"FRI2_TOBAC^FRI2_TOBAC^Q:346-2,H:4-113^64.655%ID^E:4.88e-41^RecName: Full=Ferritin-2, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana"
TRINITY_DN6450_c3_g2	.
TRINITY_DN8958_c3_g1	"ATS3A_ARATH^ATS3A_ARATH^Q:694-254,H:13-161^55.705%ID^E:3.52e-50^RecName: Full=Embryo-specific protein ATS3A {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN3641_c0_g1	"NDA2_ARATH^NDA2_ARATH^Q:1567-110,H:19-508^68.839%ID^E:0^RecName: Full=Internal alternative NAD(P)H-ubiquinone oxidoreductase A2, mitochondrial;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9547_c7_g1	.
TRINITY_DN6872_c1_g3	"PCAP1_ARATH^PCAP1_ARATH^Q:761-318,H:1-148^66.216%ID^E:2.88e-41^RecName: Full=Plasma membrane-associated cation-binding protein 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN6479_c3_g2	"ODBA1_ARATH^ODBA1_ARATH^Q:1566-133,H:1-467^61.856%ID^E:0^RecName: Full=2-oxoisovalerate dehydrogenase subunit alpha 1, mitochondrial;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN6579_c2_g1	.
TRINITY_DN7440_c0_g1	"PHO15_ARATH^PHO15_ARATH^Q:286-2,H:380-474^70.526%ID^E:8.17e-36^RecName: Full=Phosphate transporter PHO1 homolog 5;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9616_c3_g1	"HS181_ARATH^HS181_ARATH^Q:35-253,H:1-72^68.493%ID^E:3.62e-26^RecName: Full=18.1 kDa class I heat shock protein;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7536_c5_g1	"GRP1_DAUCA^GRP1_DAUCA^Q:103-345,H:4-84^65.432%ID^E:7.47e-32^RecName: Full=Glycine-rich RNA-binding protein;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; campanulids; Apiales; Apiaceae; Apioideae; Scandiceae; Daucinae; Daucus; Daucus sect. Daucus"
