#gene_id	sprot_Top_BLASTX_hit
TRINITY_DN25566_c3_g3	AB15C_ARATH^AB15C_ARATH^Q:320-1324,H:474-807^71.642%ID^E:9.48e-151^RecName: Full=Putative ABC transporter C family member 15;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`AB15C_ARATH^AB15C_ARATH^Q:1312-1404,H:807-837^80.645%ID^E:2.36e-09^RecName: Full=Putative ABC transporter C family member 15;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN25597_c2_g1	PGIP1_ARATH^PGIP1_ARATH^Q:548-66,H:170-325^56.522%ID^E:2.16e-51^RecName: Full=Polygalacturonase inhibitor 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN25568_c3_g1	.
TRINITY_DN25510_c2_g3	TBL44_ARATH^TBL44_ARATH^Q:254-30,H:213-287^57.333%ID^E:1.23e-26^RecName: Full=Protein PMR5;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN25596_c1_g1	.
TRINITY_DN25596_c1_g4	DCAM_HORCH^DCAM_HORCH^Q:378-16,H:233-358^56.349%ID^E:2.64e-39^RecName: Full=S-adenosylmethionine decarboxylase proenzyme;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Hordeinae; Hordeum
TRINITY_DN25519_c3_g1	.
TRINITY_DN25524_c0_g1	CDR1_ARATH^CDR1_ARATH^Q:921-235,H:203-436^50%ID^E:8.06e-47^RecName: Full=Aspartic proteinase CDR1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN25524_c0_g3	ASPR1_ARATH^ASPR1_ARATH^Q:3-317,H:96-203^50%ID^E:3.61e-30^RecName: Full=Probable aspartic protease At2g35615;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN25526_c4_g3	.
TRINITY_DN25544_c2_g2	.
TRINITY_DN25544_c2_g8	.
TRINITY_DN25599_c3_g3	SLK2_ARATH^SLK2_ARATH^Q:818-264,H:2-189^56.436%ID^E:9.35e-31^RecName: Full=Probable transcriptional regulator SLK2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN25599_c3_g4	.
TRINITY_DN25537_c4_g2	CCB4_ARATH^CCB4_ARATH^Q:74-871,H:18-285^66.788%ID^E:7.19e-121^RecName: Full=Protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB4, chloroplastic {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN25537_c4_g10	PRP2_ARATH^PRP2_ARATH^Q:971-504,H:14-159^30.247%ID^E:7.2e-08^RecName: Full=Proline-rich protein 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN25550_c1_g2	PLA14_ARATH^PLA14_ARATH^Q:1700-207,H:7-497^61.508%ID^E:0^RecName: Full=Phospholipase A1-Ibeta2, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24810_c1_g2	NUDT7_ARATH^NUDT7_ARATH^Q:217-495,H:4-143^40%ID^E:6.49e-24^RecName: Full=Nudix hydrolase 7;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24832_c1_g1	RSS3_ORYSJ^RSS3_ORYSJ^Q:100-423,H:103-210^45.37%ID^E:1.17e-25^RecName: Full=Protein RICE SALT SENSITIVE 3 {ECO:0000303|PubMed:23715469};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa
TRINITY_DN24879_c1_g2	S40A2_ARATH^S40A2_ARATH^Q:734-27,H:29-264^61.864%ID^E:9.24e-96^RecName: Full=Solute carrier family 40 member 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24867_c2_g1	.
TRINITY_DN24900_c1_g1	Y3471_ARATH^Y3471_ARATH^Q:539-174,H:911-1019^43.089%ID^E:1e-22^RecName: Full=Putative receptor-like protein kinase At3g47110;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24849_c1_g1	ASNS_ASPOF^ASNS_ASPOF^Q:1317-2141,H:315-590^81.884%ID^E:8.53e-157^RecName: Full=Asparagine synthetase [glutamine-hydrolyzing];^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Asparagales; Asparagaceae; Asparagoideae; Asparagus
TRINITY_DN24849_c1_g1	ASNS_ASPOF^ASNS_ASPOF^Q:1317-2141,H:315-590^81.884%ID^E:8.53e-157^RecName: Full=Asparagine synthetase [glutamine-hydrolyzing];^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Asparagales; Asparagaceae; Asparagoideae; Asparagus
TRINITY_DN24849_c1_g2	ASNS_ASPOF^ASNS_ASPOF^Q:1780-404,H:131-590^82.609%ID^E:0^RecName: Full=Asparagine synthetase [glutamine-hydrolyzing];^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Asparagales; Asparagaceae; Asparagoideae; Asparagus
TRINITY_DN24849_c1_g3	ASNS_TRIVS^ASNS_TRIVS^Q:902-1597,H:216-447^91.379%ID^E:4.36e-137^RecName: Full=Asparagine synthetase [glutamine-hydrolyzing];^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Orobanchaceae; Pedicularideae; Castillejinae; Triphysaria`ASNS_TRIVS^ASNS_TRIVS^Q:75-782,H:1-228^80.508%ID^E:2.44e-131^RecName: Full=Asparagine synthetase [glutamine-hydrolyzing];^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Orobanchaceae; Pedicularideae; Castillejinae; Triphysaria
TRINITY_DN24849_c1_g3	ASNS_TRIVS^ASNS_TRIVS^Q:902-1597,H:216-447^91.379%ID^E:4.36e-137^RecName: Full=Asparagine synthetase [glutamine-hydrolyzing];^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Orobanchaceae; Pedicularideae; Castillejinae; Triphysaria`ASNS_TRIVS^ASNS_TRIVS^Q:75-782,H:1-228^80.508%ID^E:2.44e-131^RecName: Full=Asparagine synthetase [glutamine-hydrolyzing];^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Orobanchaceae; Pedicularideae; Castillejinae; Triphysaria
TRINITY_DN24837_c0_g2	BH047_ARATH^BH047_ARATH^Q:772-545,H:23-98^72.368%ID^E:1.81e-28^RecName: Full=Transcription factor bHLH47;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24837_c0_g3	SRF3_ARATH^SRF3_ARATH^Q:923-9,H:191-506^40.882%ID^E:1.94e-23^RecName: Full=Protein STRUBBELIG-RECEPTOR FAMILY 3;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24868_c0_g1	BAGP1_ARATH^BAGP1_ARATH^Q:3-161,H:430-482^83.019%ID^E:3.69e-26^RecName: Full=BAG-associated GRAM protein 1 {ECO:0000303|PubMed:26739014};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24856_c3_g1	.
TRINITY_DN24856_c4_g1	.
TRINITY_DN24856_c5_g1	CNO10_DANRE^CNO10_DANRE^Q:2017-506,H:91-592^29.356%ID^E:5.68e-48^RecName: Full=CCR4-NOT transcription complex subunit 10;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Cyprinidae; Danio
TRINITY_DN24813_c3_g1	DMR6_ARATH^DMR6_ARATH^Q:1175-165,H:1-340^70.294%ID^E:0^RecName: Full=Protein DOWNY MILDEW RESISTANCE 6 {ECO:0000303|PubMed:15986928};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24857_c4_g3	.
TRINITY_DN24812_c3_g1	.
TRINITY_DN24840_c1_g2	ASD2_ARATH^ASD2_ARATH^Q:241-1509,H:8-430^72.066%ID^E:0^RecName: Full=Alpha-L-arabinofuranosidase 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24890_c3_g1	Y1385_ARATH^Y1385_ARATH^Q:1372-386,H:204-524^26.286%ID^E:1.21e-16^RecName: Full=BTB/POZ domain-containing protein At1g63850;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24889_c0_g1	SPSA4_ARATH^SPSA4_ARATH^Q:930-100,H:320-596^84.116%ID^E:1.11e-150^RecName: Full=Probable sucrose-phosphate synthase 4;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24835_c0_g2	BASS4_ORYSJ^BASS4_ORYSJ^Q:549-319,H:145-221^71.429%ID^E:1.18e-29^RecName: Full=Probable sodium/metabolite cotransporter BASS4, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa
TRINITY_DN24826_c2_g1	LBD11_ARATH^LBD11_ARATH^Q:328-813,H:56-232^62.921%ID^E:1.24e-67^RecName: Full=LOB domain-containing protein 11;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24820_c1_g1	.
TRINITY_DN24820_c2_g1	.
TRINITY_DN24861_c0_g1	PDF1_ARATH^PDF1_ARATH^Q:535-203,H:192-306^71.304%ID^E:5.54e-41^RecName: Full=Protodermal factor 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24854_c0_g5	H2B1_MEDTR^H2B1_MEDTR^Q:102-269,H:58-113^98.214%ID^E:3.78e-34^RecName: Full=Probable histone H2B.1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Trifolieae; Medicago
TRINITY_DN24875_c0_g2	BGL15_ORYSJ^BGL15_ORYSJ^Q:3-269,H:262-350^49.438%ID^E:1.8e-26^RecName: Full=Putative beta-glucosidase 15;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa
TRINITY_DN24830_c6_g1	BCH2_CAPAN^BCH2_CAPAN^Q:97-648,H:14-196^66.489%ID^E:9.96e-63^RecName: Full=Beta-carotene hydroxylase 2, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Capsiceae; Capsicum
TRINITY_DN24830_c6_g1	BCH2_CAPAN^BCH2_CAPAN^Q:97-648,H:14-196^66.489%ID^E:9.96e-63^RecName: Full=Beta-carotene hydroxylase 2, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Capsiceae; Capsicum
TRINITY_DN24802_c6_g3	POLX_TOBAC^POLX_TOBAC^Q:170-3,H:462-517^39.286%ID^E:3.15e-06^RecName: Full=Retrovirus-related Pol polyprotein from transposon TNT 1-94;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana
TRINITY_DN24839_c1_g12	CRK16_ARATH^CRK16_ARATH^Q:353-3,H:315-431^75.214%ID^E:3.59e-55^RecName: Full=Putative cysteine-rich receptor-like protein kinase 16;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN24853_c6_g1	.
TRINITY_DN24871_c0_g1	OMT2_HUMLU^OMT2_HUMLU^Q:207-509,H:261-360^62.376%ID^E:1.11e-39^RecName: Full=Xanthohumol 4-O-methyltransferase {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Cannabaceae; Humulus
TRINITY_DN24876_c5_g1	GRXS9_ARATH^GRXS9_ARATH^Q:882-586,H:1-98^64.646%ID^E:1.03e-40^RecName: Full=Monothiol glutaredoxin-S9;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN11573_c0_g1	.
TRINITY_DN19206_c2_g4	.
TRINITY_DN19244_c2_g1	POLX_TOBAC^POLX_TOBAC^Q:551-3,H:762-935^30.964%ID^E:5.29e-12^RecName: Full=Retrovirus-related Pol polyprotein from transposon TNT 1-94;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana
TRINITY_DN19230_c2_g2	.
TRINITY_DN19283_c0_g2	.
TRINITY_DN19231_c2_g1	.
TRINITY_DN19211_c4_g2	GLNA2_VITVI^GLNA2_VITVI^Q:1-273,H:216-306^95.604%ID^E:2.11e-52^RecName: Full=Glutamine synthetase cytosolic isozyme 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; Vitales; Vitaceae; Vitis`GLNA2_VITVI^GLNA2_VITVI^Q:851-1018,H:296-351^80.357%ID^E:2.47e-20^RecName: Full=Glutamine synthetase cytosolic isozyme 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; Vitales; Vitaceae; Vitis
TRINITY_DN19274_c2_g1	.
TRINITY_DN19216_c1_g4	C71D7_SOLCH^C71D7_SOLCH^Q:23-538,H:329-500^65.698%ID^E:2.89e-68^RecName: Full=Cytochrome P450 71D7;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum
TRINITY_DN19216_c1_g5	C7D55_HYOMU^C7D55_HYOMU^Q:2-997,H:168-498^53.313%ID^E:2.18e-120^RecName: Full=Premnaspirodiene oxygenase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Hyoscyameae; Hyoscyamus
TRINITY_DN19216_c1_g7	C71D8_SOYBN^C71D8_SOYBN^Q:110-445,H:387-498^60.714%ID^E:3.27e-48^RecName: Full=Cytochrome P450 71D8;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Glycine; Soja
TRINITY_DN19267_c2_g1	.
TRINITY_DN19248_c2_g4	E1313_ARATH^E1313_ARATH^Q:790-320,H:332-485^58.861%ID^E:2.83e-53^RecName: Full=Glucan endo-1,3-beta-glucosidase 13;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN19201_c0_g1	.
TRINITY_DN19250_c4_g3	DRE1B_ARATH^DRE1B_ARATH^Q:682-335,H:86-212^46.923%ID^E:1.9e-13^RecName: Full=Dehydration-responsive element-binding protein 1B {ECO:0000303|PubMed:9707537};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN19227_c4_g5	.
TRINITY_DN19207_c0_g1	BOR4_ARATH^BOR4_ARATH^Q:3-1985,H:12-671^74.474%ID^E:0^RecName: Full=Boron transporter 4;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN19286_c0_g1	.
TRINITY_DN19245_c2_g1	.
TRINITY_DN19251_c0_g2	.
TRINITY_DN19268_c2_g1	.
TRINITY_DN19289_c5_g3	.
TRINITY_DN19289_c5_g9	.
TRINITY_DN19214_c2_g1	XTHB_PHAAN^XTHB_PHAAN^Q:889-38,H:8-293^82.517%ID^E:0^RecName: Full=Probable xyloglucan endotransglucosylase/hydrolase protein B;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Vigna
TRINITY_DN19233_c2_g5	ABD18_RAT^ABD18_RAT^Q:576-331,H:379-461^42.169%ID^E:3.7e-14^RecName: Full=Protein ABHD18 {ECO:0000305};^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus
TRINITY_DN19275_c5_g1	.
TRINITY_DN19275_c5_g2	.
TRINITY_DN19217_c0_g1	.
TRINITY_DN19239_c0_g4	TMK1_ARATH^TMK1_ARATH^Q:226-1542,H:503-942^85.941%ID^E:0^RecName: Full=Receptor protein kinase TMK1 {ECO:0000303|PubMed:1332795};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN19277_c2_g6	CRS2A_ARATH^CRS2A_ARATH^Q:1085-357,H:1-246^68.699%ID^E:5.27e-119^RecName: Full=Chloroplastic group IIB intron splicing facilitator CRS2-A, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN19288_c0_g2	ATPG_TOBAC^ATPG_TOBAC^Q:1446-400,H:21-376^72.472%ID^E:1.12e-175^RecName: Full=ATP synthase gamma chain, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Nicotianoideae; Nicotianeae; Nicotiana
TRINITY_DN19298_c3_g9	Y3471_ARATH^Y3471_ARATH^Q:3-317,H:216-320^40%ID^E:2.32e-17^RecName: Full=Putative receptor-like protein kinase At3g47110;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`Y3471_ARATH^Y3471_ARATH^Q:3-311,H:392-493^36.893%ID^E:1.74e-09^RecName: Full=Putative receptor-like protein kinase At3g47110;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`Y3471_ARATH^Y3471_ARATH^Q:3-302,H:464-585^34.146%ID^E:8.7e-07^RecName: Full=Putative receptor-like protein kinase At3g47110;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`Y3471_ARATH^Y3471_ARATH^Q:30-314,H:377-470^36.842%ID^E:1.28e-06^RecName: Full=Putative receptor-like protein kinase At3g47110;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN19263_c1_g3	PIP27_ARATH^PIP27_ARATH^Q:1-282,H:24-117^90.426%ID^E:1.68e-54^RecName: Full=Aquaporin PIP2-7;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN19280_c0_g1	.
TRINITY_DN19255_c1_g1	DEGP8_ARATH^DEGP8_ARATH^Q:287-1486,H:48-448^80.299%ID^E:0^RecName: Full=Protease Do-like 8, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN21879_c1_g3	.
TRINITY_DN21805_c2_g2	AHP1_ARATH^AHP1_ARATH^Q:448-248,H:84-150^58.209%ID^E:2.49e-23^RecName: Full=Histidine-containing phosphotransfer protein 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`AHP1_ARATH^AHP1_ARATH^Q:955-695,H:1-86^64.368%ID^E:4.32e-16^RecName: Full=Histidine-containing phosphotransfer protein 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN21814_c2_g1	.
TRINITY_DN21844_c4_g1	Y1609_ARATH^Y1609_ARATH^Q:67-450,H:218-345^53.906%ID^E:6.44e-42^RecName: Full=Uncharacterized protein At1g26090, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis
TRINITY_DN21844_c5_g1	.
